Frecuencia	Fecha
1	9/05/2020
3	9/05/2020
4	9/05/2020
2	9/05/2020
2	27/05/2020
3	9/05/2020
1	7/05/2020
12	9/05/2020
4	13/05/2020
18	9/05/2020
1	11/05/2020
3	9/05/2020
2	9/05/2020
2	3/05/2020
2	20/05/2020
3	9/05/2020
10	23/05/2020
15	13/05/2020
3	9/05/2020
1	9/05/2020
10	9/05/2020
6	8/05/2020
5	16/05/2020
4	4/05/2020
10	23/05/2020
4	9/05/2020
2	6/05/2020
1	14/05/2020
33	6/05/2020
10	9/05/2020
4	9/05/2020
6	8/05/2020
4	9/05/2020
16	9/05/2020
7	9/05/2020
2	26/05/2020
3	9/05/2020
6	9/05/2020
6	9/05/2020
5	9/05/2020
2	9/05/2020
2	9/05/2020
4	9/05/2020
3	31/05/2020
4	9/05/2020
2	9/05/2020
13	29/05/2020
4	9/05/2020
15	9/05/2020
1	9/05/2020
6	9/05/2020
2	15/05/2020
18	24/05/2020
1	9/05/2020
4	22/05/2020
6	9/05/2020
1	25/05/2020
21	9/05/2020
4	9/05/2020
5	9/05/2020
6	3/05/2020
3	9/05/2020
15	9/05/2020
2	5/05/2020
3	9/05/2020
4	18/05/2020
6	9/05/2020
2	9/05/2020
3	30/05/2020
4	9/05/2020
4	5/05/2020
5	2/05/2020
2	9/05/2020
2	5/05/2020
2	7/05/2020
1	27/05/2020
1	4/05/2020
2	29/05/2020
2	9/05/2020
3	9/05/2020
30	9/05/2020
5	9/05/2020
31	15/05/2020
5	9/05/2020
13	25/05/2020
3	9/05/2020
6	9/05/2020
6	1/05/2020
1	17/05/2020
5	9/05/2020
3	5/05/2020
3	9/05/2020
2	9/05/2020
2	8/05/2020
5	11/05/2020
12	9/05/2020
1	9/05/2020
2	9/05/2020
1	9/05/2020
9	9/05/2020
5	31/05/2020
2	9/05/2020
1	9/05/2020
11	1/05/2020
7	6/05/2020
2	9/05/2020
7	9/05/2020
5	9/05/2020
2	9/05/2020
1	21/05/2020
3	15/05/2020
4	14/05/2020
11	31/05/2020
1	9/05/2020
4	9/05/2020
1	2/05/2020
6	9/05/2020
10	13/05/2020
4	31/05/2020
6	10/05/2020
3	9/05/2020
12	9/05/2020
3	9/05/2020
5	9/05/2020
2	9/05/2020
2	9/05/2020
5	16/05/2020
